Suburb,Type,Price,BuildingArea,YearBuilt
Altona North,h,650000,,
Altona North,h,675000,109,2012
Altona North,h,708000,97,1960
Altona North,h,965000,,
Altona North,h,680000,,
Altona North,h,770000,603,
Altona North,h,923000,,
Altona North,h,693000,170,2008
Altona North,h,620000,100,2010
Altona North,h,728500,157,1960
Altona North,h,931000,160,1950
Altona North,h,988000,,2008
Altona North,h,590000,,
Altona North,h,610000,,
Altona North,h,815000,130,1960
Altona North,h,970000,,
Altona North,h,760000,,
Altona North,t,847500,,
Altona North,h,1200000,158,1960
Altona North,h,700000,,
Altona North,h,625000,,
Altona North,u,292000,70,1970
Armadale,u,599000,76,1964
Armadale,u,550000,,
Armadale,u,995000,100,1998
Armadale,t,1205000,105,2000
Armadale,h,1939000,150,1889
Armadale,u,421500,,
Armadale,h,1870000,116,1888
Armadale,u,678000,,
Armadale,t,1918000,165,1995
Armadale,u,660000,,
Armadale,h,2050000,116,1910
Armadale,u,700000,,
Armadale,u,3625000,,2006
Armadale,h,3000000,,1934
Armadale,h,1525000,,
Armadale,u,735000,14,1970
Armadale,u,825000,,
Armadale,t,1586000,,
Armadale,u,645000,,1960
Armadale,h,1435000,107,1900
Armadale,u,280000,38,1975
Armadale,u,400000,,
Armadale,h,1780000,,
Armadale,u,592500,73,1970
Armadale,h,1210000,96,1910
Armadale,h,2801000,222,1900
Armadale,u,390000,,
Armadale,h,1800000,121,1910
Armadale,h,2200000,163,1900
Armadale,u,324000,,
Armadale,h,5525000,516,1935
Armadale,h,1125000,,
Armadale,h,2250000,,
Armadale,h,2360000,,
Armadale,h,1900000,,
Armadale,u,440000,53,1970
Armadale,u,490000,,1966
Armadale,h,2365000,,
Armadale,h,1300000,106,1900
Armadale,u,732000,,
Armadale,u,704000,74,1969
Armadale,u,620000,98,1970
Armadale,h,1900000,108,1900
Armadale,u,315000,,
Armadale,u,450000,,
Armadale,u,710000,80,1970
Armadale,u,872000,,1953
Armadale,u,598000,88,1970
Armadale,h,1285000,80,1920
Armadale,h,3660000,,
Armadale,u,520000,76,1970
Armadale,h,3625000,251,1900
Armadale,h,4200000,333,2000
Armadale,t,1101000,3,2000
Armadale,h,3512500,285,1998
Armadale,h,2000000,,
Armadale,u,869000,91,1940
Armadale,h,2810000,,
Armadale,u,565000,,
Armadale,u,567000,53,2013
Armadale,u,546000,,
Armadale,u,471500,,1980
Ascot Vale,u,455000,,
Ascot Vale,h,940000,108,1920
Ascot Vale,u,467000,62,1980
Ascot Vale,h,1380000,174,1910
Ascot Vale,u,490000,62,1970
Ascot Vale,h,1850000,270,1900
Ascot Vale,h,1284000,,1938
Ascot Vale,h,971000,128,1900
Ascot Vale,h,710000,77,1890
Ascot Vale,h,2425000,435,1887
Ascot Vale,h,750000,92,1920
Ascot Vale,h,1053000,109,1900
Ascot Vale,h,1377000,168,1900
Ascot Vale,h,970000,125,1904
Ascot Vale,h,940000,,
Ascot Vale,h,751000,79,1890
Ascot Vale,h,950000,102,1900
Ascot Vale,u,685000,90,1995
Ascot Vale,h,1230000,148,1960
Ascot Vale,h,636500,,
Ascot Vale,h,910000,,
Ascot Vale,h,770000,87,1900
Ascot Vale,h,960000,,2011
Ascot Vale,h,890000,185,1890
Ascot Vale,h,965000,,
Ascot Vale,h,1440000,131,1900
Ascot Vale,h,955000,,
Ascot Vale,u,450000,,2010
Ascot Vale,h,801000,,1950
Ascot Vale,h,1000000,120,1955
Ascot Vale,h,1435000,147,1950
Ascot Vale,u,390000,58,1972
Ascot Vale,h,1425000,139,1920
Ascot Vale,h,1340000,232,1978
Ascot Vale,h,955000,117,1910
Ascot Vale,h,1100000,195,1920
Ascot Vale,h,1255000,,
Ascot Vale,u,432000,62,1978
Ascot Vale,h,1640000,204,1890
Ascot Vale,h,1430000,286,1900
Ascot Vale,u,610000,104,1995
Ascot Vale,h,940000,127,1950
Ascot Vale,h,890000,110,1920
Ascot Vale,h,1180000,149,1930
Ascot Vale,h,1480000,180,1939
Ascot Vale,h,1150000,,
Ascot Vale,h,1350000,,
Ascot Vale,h,1905000,,
Ascot Vale,t,865000,132,2015
Ascot Vale,t,705000,,1998
Ascot Vale,u,442000,62,1975
Ascot Vale,u,540000,,
Ascot Vale,h,1037500,110,1920
Ascot Vale,t,1050000,160,2013
Ascot Vale,u,440000,65,1970
Ascot Vale,h,1010000,,
Ascot Vale,h,1430000,158,1900
Ascot Vale,u,570000,,
Ascot Vale,u,690000,,
Ascot Vale,h,1291000,,
Ascot Vale,h,1130000,157,1900
Ascot Vale,h,1135000,104,1910
Ascot Vale,h,950000,147,1920
Ascot Vale,u,790000,148,
Ascot Vale,u,390000,69,2012
Ascot Vale,h,1345000,155,1920
Ascot Vale,h,1381500,168,1900
Ascot Vale,h,940000,172,2011
Ascot Vale,h,995000,177,2010
Ascot Vale,h,1050000,,
Ascot Vale,h,786000,120,1940
Ascot Vale,h,705000,108,1910
Ascot Vale,h,760000,77,1900
Ascot Vale,u,487500,,1972
Ascot Vale,t,1000000,144,2003
Ascot Vale,h,1110000,,1920
Ascot Vale,h,1300000,,
Ascot Vale,h,1060000,,
Ascot Vale,h,1410000,,
Ascot Vale,h,1305000,166,1900
Ascot Vale,h,932500,,
Ascot Vale,h,965000,,
Ascot Vale,h,1215000,175,1960
Ascot Vale,u,545000,71,1900
Ascot Vale,h,1705000,273,2012
Ascot Vale,h,970000,,
Ascot Vale,h,925000,,
Ashburton,h,2650000,399,2015
Ashburton,h,1670000,220,1930
Ashburton,t,955000,,
Ashburton,t,2050000,315,2014
Ashburton,u,500000,,2010
Ashburton,h,1575000,,
Ashburton,h,1555000,149,1935
Ashburton,h,1100000,178,2004
Ashburton,h,1337000,112,1950
Ashburton,h,2950000,618,2009
Ashburton,h,2215000,,1940
Ashburton,h,1518000,145,1920
Ashburton,h,1710000,101,1950
Ashburton,h,1655000,152,1940
Ashburton,h,1550000,180,1938
Ashburton,h,1662000,228,2006
Ashburton,h,1665000,145,1945
Ashburton,h,1445000,,
Ashburton,h,3510000,444,2015
Ashburton,t,968000,,
Ashburton,t,900000,110,1990
Ashburton,h,1500000,,
Ashburton,h,2752000,390,2010
Ashburton,h,1500000,139,1945
Ashburton,h,1800000,206,1950
Ashburton,h,1830000,168,1940
Ashburton,h,1415000,111,1950
Ashburton,h,1440000,104,1940
Ashburton,t,1250000,199,2007
Ashburton,h,1422000,,
Ashburton,h,1600000,266,1950
Ashburton,h,1860000,274,2000
Ashburton,t,1710000,,1990
Ashburton,h,1790000,240,1935
Ashburton,h,1950000,278,1940
Ashburton,h,1600000,,
Ashburton,h,1320000,,
Ashburton,h,1650000,164,1947
Ashwood,h,995000,,1950
Ashwood,h,1250000,,
Ashwood,u,1045000,,
Ashwood,h,1200000,201,2016
Ashwood,h,1075000,114,1950
Ashwood,h,1500000,203,2000
Ashwood,h,1120000,,
Ashwood,t,700000,110,1970
Ashwood,h,761000,94,1950
Ashwood,h,1270000,,
Ashwood,h,1510000,,
Ashwood,h,1365000,792,1950
Ashwood,h,1100000,152,1970
Ashwood,h,1415000,,
Ashwood,u,690000,90,2003
Ashwood,h,1631000,215,1950
Ashwood,h,1500000,255,1930
Ashwood,h,1060000,,
Ashwood,h,1529500,317,2000
Ashwood,u,600000,80,1970
Ashwood,u,535000,,
Ashwood,h,785000,,1960
Ashwood,h,1240000,192,1950
Ashwood,u,700000,88,2007
Ashwood,h,1350000,,
Ashwood,h,1110000,86,1950
Ashwood,h,1305000,120,1960
Ashwood,h,855000,85,1958
Ashwood,t,900500,134,2012
Ashwood,h,1200000,198,1970
Ashwood,t,830000,130,2012
Avondale Heights,h,850000,118,1970
Avondale Heights,h,750000,103,1980
Avondale Heights,t,851000,181,2017
Avondale Heights,h,848000,,
Avondale Heights,h,806000,,2008
Avondale Heights,h,1155000,225,2008
Avondale Heights,h,670000,,
Avondale Heights,h,1200000,,
Avondale Heights,h,636000,,
Avondale Heights,h,680000,120,1970
Avondale Heights,h,1160000,,
Avondale Heights,h,750000,,
Avondale Heights,h,627500,143,1970
Avondale Heights,t,880000,,
Avondale Heights,h,950000,281,1970
Avondale Heights,h,1600000,,
Avondale Heights,t,585000,,2012
Avondale Heights,h,650000,,
Avondale Heights,h,725000,,
Avondale Heights,u,665000,,
Avondale Heights,h,560500,,
Avondale Heights,h,615000,,
Avondale Heights,h,845000,,
Avondale Heights,h,585000,,
Avondale Heights,u,440000,,1999
Avondale Heights,h,850000,149,
Avondale Heights,h,850000,,
Avondale Heights,h,705000,106,1960
Avondale Heights,h,1100000,395,1992
Avondale Heights,h,892500,118,1965
Avondale Heights,h,695000,,
Avondale Heights,h,522500,101,1995
Avondale Heights,h,680000,140,1960
Avondale Heights,u,500000,,1990
Avondale Heights,t,550000,,1993
Avondale Heights,h,730000,,
Avondale Heights,h,875000,117,1960
Avondale Heights,h,850000,,
Avondale Heights,h,635000,,
Avondale Heights,h,762000,150,1961
Avondale Heights,u,411000,85,1995
Avondale Heights,h,790000,,
Avondale Heights,h,605000,,
Avondale Heights,h,805000,103,1970
Avondale Heights,h,890000,,1960
Avondale Heights,h,795000,,
Avondale Heights,h,634000,153,1950
Avondale Heights,h,642000,,1960
Avondale Heights,h,863000,,
Avondale Heights,h,740000,,
Balaclava,h,1819000,180,1900
Balaclava,u,410000,61,1965
Balaclava,u,280000,,
Balaclava,t,1015000,120,2000
Balaclava,u,502500,65,1960
Balaclava,u,520000,58,1970
Balaclava,u,442000,61,1960
Balaclava,h,1193000,100,1920
Balaclava,u,416000,49,1960
Balaclava,u,820000,,
Balaclava,u,474000,59,1970
Balaclava,h,981000,84,1930
Balaclava,h,1690000,159,1890
Balaclava,u,540000,51,1970
Balaclava,h,1080000,,1928
Balaclava,u,500000,,
Balaclava,u,497500,,
Balwyn,h,2100000,123,1920
Balwyn,h,1800000,218,1985
Balwyn,t,1255000,129,2000
Balwyn,u,1070000,112,1998
Balwyn,h,2570000,420,2009
Balwyn,h,2400000,226,1985
Balwyn,h,2200000,266,
Balwyn,h,3250000,410,
Balwyn,u,806000,97,1977
Balwyn,h,4000000,449,1935
Balwyn,h,1215000,,
Balwyn,h,2250000,356,2006
Balwyn,u,812000,,
Balwyn,h,1140000,,1976
Balwyn,h,2330000,,
Balwyn,h,2800000,349,2001
Balwyn,u,605000,,
Balwyn,h,1255000,,
Balwyn,h,1850000,166,1930
Balwyn,u,805000,,1975
Balwyn,h,700000,110,1970
Balwyn,h,2130000,,
Balwyn,h,500000,72,1960
Balwyn,h,2125000,252,1985
Balwyn,h,1800000,200,1948
Balwyn,u,635000,70,2014
Balwyn,u,526000,73,1960
Balwyn,h,390000,,
Balwyn,h,905000,150,1995
Balwyn,h,1750000,308,2016
Balwyn,t,760000,100,1960
Balwyn,h,3180000,,
Balwyn,t,1367000,164,2003
Balwyn,h,3600000,,
Balwyn,h,2550000,,1930
Balwyn,t,1400000,240,2009
Balwyn,h,3270000,241,1927
Balwyn,u,625000,104,1960
Balwyn,t,700000,,
Balwyn,h,1860000,465,
Balwyn,h,2730000,336,1997
Balwyn,h,2020000,,
Balwyn,u,460000,79,1950
Balwyn,h,2250000,,
Balwyn,u,1053000,98,1985
Balwyn,h,1800000,,1980
Balwyn,t,1472000,170,1995
Balwyn,h,2120000,,
Balwyn,h,1910000,,
Balwyn,u,754000,88,1990
Balwyn,h,3000000,,
Balwyn,h,3400000,502,
Balwyn,h,2188000,253,1981
Balwyn,u,755000,92,1980
Balwyn,h,2900000,,
Balwyn,h,3290000,350,1910
Balwyn,h,2665000,,
Balwyn,h,1801000,,
Balwyn,h,2410000,207,1940
Balwyn,u,650000,150,1960
Balwyn,h,2275000,,
Balwyn,h,2810000,,
Balwyn,t,1385000,,
Balwyn,h,2000000,291,1930
Balwyn,h,1900000,155,1940
Balwyn,h,3401000,166,1930
Balwyn,h,1750000,193,1943
Balwyn,h,4000000,,
Balwyn,t,1100000,,1940
Balwyn,h,3020000,420,2009
Balwyn,h,2950000,,
Balwyn,h,2450000,260,1960
Balwyn,h,1912000,,
Balwyn,u,730000,80,1960
Balwyn,h,3900000,,
Balwyn,h,1500000,190,2011
Balwyn,h,1850000,,1950
Balwyn,h,1700000,115,1935
Balwyn,h,1010000,,
Balwyn North,t,1315000,167,2000
Balwyn North,h,1500000,154,1950
Balwyn North,h,3230000,275,1960
Balwyn North,h,1080000,,
Balwyn North,h,1350000,,
Balwyn North,h,1905000,185,1955
Balwyn North,h,3300000,477,2015
Balwyn North,h,1900000,215,1955
Balwyn North,h,2251000,137,1950
Balwyn North,h,2205000,214,1950
Balwyn North,h,1265000,160,2011
Balwyn North,h,2000000,,
Balwyn North,h,1750000,185,1960
Balwyn North,h,1450000,124,1950
Balwyn North,h,2614000,150,1955
Balwyn North,h,1825000,225,1958
Balwyn North,h,2550000,,
Balwyn North,h,1570000,,
Balwyn North,h,3250000,520,2013
Balwyn North,h,1750000,,
Balwyn North,t,1150000,144,2003
Balwyn North,h,1575000,,1953
Balwyn North,h,1505000,,
Balwyn North,h,1572000,330,1965
Balwyn North,h,1500000,,
Balwyn North,t,1400000,,
Balwyn North,h,1750000,365,2013
Balwyn North,h,1850000,254,1990
Balwyn North,h,1480000,,
Balwyn North,h,1400000,,
Balwyn North,h,2130000,275,1970
Balwyn North,u,1050000,,
Balwyn North,h,3690000,154,1967
Balwyn North,h,1740000,275,1993
Balwyn North,h,2575000,355,2006
Balwyn North,h,1388800,247,1970
Balwyn North,h,1702000,,1939
Balwyn North,h,1800000,165,1960
Balwyn North,h,2910000,247,1992
Balwyn North,h,1400000,,
Balwyn North,t,860000,,
Balwyn North,h,1670000,,
Balwyn North,h,1500000,,1950
Balwyn North,h,2200000,355,1955
Balwyn North,h,1350000,,
Balwyn North,h,2070000,,
Balwyn North,h,1300000,,
Balwyn North,h,1700000,168,1960
Balwyn North,h,1750000,,1948
Balwyn North,h,980000,,
Balwyn North,h,1230000,188,2012
Balwyn North,h,2600000,529,2008
Balwyn North,h,1950000,232,1970
Balwyn North,h,1750000,170,1955
Balwyn North,h,2000000,244,1950
Balwyn North,h,1480000,116,1950
Balwyn North,h,3000000,50,
Balwyn North,h,1818000,90,1930
Balwyn North,h,2170000,,
Balwyn North,h,2525000,196,1960
Balwyn North,h,3360000,420,2003
Balwyn North,h,1620000,,1960
Balwyn North,h,1903000,720,1950
Balwyn North,h,1712000,,
Balwyn North,h,1720000,170,1950
Balwyn North,h,1670000,,
Balwyn North,h,1350000,,
Balwyn North,h,1675000,201,1974
Balwyn North,t,1680000,200,2014
Balwyn North,h,1800000,,
Balwyn North,h,1550000,,
Balwyn North,h,4000000,518,2013
Balwyn North,h,2900000,,
Balwyn North,h,2205000,250,1950
Balwyn North,t,1137000,,
Balwyn North,h,2100000,175,1940
Balwyn North,h,1389000,,
Balwyn North,h,685000,85,1975
Balwyn North,h,1900000,5,
Balwyn North,h,1335000,177,2009
Balwyn North,h,1600000,,
Balwyn North,h,1830000,,
Balwyn North,h,1900000,165,1960
Balwyn North,h,1500000,,
Balwyn North,u,735000,,1970
Balwyn North,u,1040000,112,1995
Balwyn North,h,1520000,,
Balwyn North,h,1250000,153,1950
Balwyn North,h,1900000,,1974
Balwyn North,h,1875000,200,1961
Balwyn North,h,1530000,198,1960
Balwyn North,h,1700000,175,1960
Balwyn North,t,1238000,,2010
Balwyn North,h,1320000,,1960
Balwyn North,u,560000,,1950
Balwyn North,h,1651000,151,1960
Balwyn North,h,1920000,355,1955
Balwyn North,h,1560000,199,1980
Balwyn North,h,1550000,,
Balwyn North,h,1038000,144,2003
Balwyn North,h,1660000,193,1950
Balwyn North,h,1260000,,1997
Balwyn North,h,2000000,,
Balwyn North,h,2155000,,
Balwyn North,h,1225000,,
Balwyn North,h,2150000,,1960
Balwyn North,h,1770000,147,1955
Balwyn North,u,691500,102,1968
Balwyn North,h,1836000,,1957
Bentleigh,u,636000,,1974
Bentleigh,h,1275000,,
Bentleigh,u,875000,121,1950
Bentleigh,t,895000,,1997
Bentleigh,h,1550000,,
Bentleigh,h,1420000,,
Bentleigh,h,1425000,143,1960
Bentleigh,t,851000,250,1970
Bentleigh,h,1222500,181,2000
Bentleigh,h,1260000,,
Bentleigh,h,2700000,,
Bentleigh,t,900000,,1925
Bentleigh,h,1100000,,
Bentleigh,h,1005000,,1950
Bentleigh,h,1317500,127,1945
Bentleigh,u,360000,69,1965
Bentleigh,t,1435000,212,2012
Bentleigh,h,1110000,164,1940
Bentleigh,h,2435000,250,1928
Bentleigh,h,1500000,222,1940
Bentleigh,h,1300000,194,1940
Bentleigh,h,855000,,
Bentleigh,h,1125000,116,1948
Bentleigh,h,1135000,,
Bentleigh,h,867000,,
Bentleigh,h,1328000,112,1940
Bentleigh,h,1340000,135,1910
Bentleigh,t,1155000,205,2010
Bentleigh,h,1275000,138,1960
Bentleigh,h,770000,,1987
Bentleigh,h,855000,103,1940
Bentleigh,t,1100000,,
Bentleigh,u,650000,92,1960
Bentleigh,h,1815000,233,1950
Bentleigh,h,2255000,353,2008
Bentleigh,h,1470000,,1950
Bentleigh,u,420000,,
Bentleigh,u,855000,475,2005
Bentleigh,h,1450000,,
Bentleigh,h,1200000,,
Bentleigh,h,1860000,197,1930
Bentleigh,u,725000,100,1990
Bentleigh,h,1293000,108,1950
Bentleigh,h,1390000,,1925
Bentleigh,h,1400000,,
Bentleigh,h,1328000,245,1970
Bentleigh,t,1247000,255,2008
Bentleigh,h,1311000,,
Bentleigh,h,1100000,,
Bentleigh,h,1327500,,
Bentleigh,h,1560000,,
Bentleigh,h,1370000,143,1950
Bentleigh,h,1100000,,
Bentleigh,h,1385000,,1920
Bentleigh,t,1275000,,
Bentleigh,h,1095000,170,1965
Bentleigh,u,797500,,
Bentleigh,u,725000,88,2012
Bentleigh,t,825000,149,2007
Bentleigh,t,1235000,160,2012
Bentleigh,h,1600000,,1986
Bentleigh,h,1165000,125,1950
Bentleigh,h,1355000,,
Bentleigh,h,1910000,284,1950
Bentleigh,h,1448000,,
Bentleigh,u,820000,109,1960
Bentleigh,h,895000,,
Bentleigh,h,1041000,,
Bentleigh,h,1430000,168,1970
Bentleigh,h,910000,96,1970
Bentleigh,h,2520000,361,2012
Bentleigh,h,1350000,,
Bentleigh,u,635000,,
Bentleigh,h,1280000,,
Bentleigh,h,1900000,250,1926
Bentleigh,h,1230000,,
Bentleigh,h,1150000,766,
Bentleigh,h,1650000,,1930
Bentleigh,t,670000,90,2007
Bentleigh,t,680000,107,1998
Bentleigh,t,1320000,220,2010
Bentleigh,h,1380000,,
Bentleigh,h,1900000,275,1988
Bentleigh,h,1535000,150,1930
Bentleigh,h,1281000,150,1940
Bentleigh,u,1096000,,
Bentleigh,h,1385000,178,1950
Bentleigh,u,517500,,1970
Bentleigh,t,1245000,,
Bentleigh,u,503000,,1960
Bentleigh,h,2620000,361,2012
Bentleigh,u,760000,,
Bentleigh,u,405000,,1968
Bentleigh East,h,1410000,,
Bentleigh East,t,760000,,
Bentleigh East,h,825000,125,2008
Bentleigh East,u,746000,95,2002
Bentleigh East,u,580000,,
Bentleigh East,h,1275000,190,1960
Bentleigh East,h,1206000,,
Bentleigh East,t,1115000,,
Bentleigh East,h,1190000,,
Bentleigh East,h,1270000,,
Bentleigh East,u,1025000,120,1999
Bentleigh East,u,740000,,
Bentleigh East,h,1960000,,
Bentleigh East,u,495000,79,1980
Bentleigh East,u,570000,,
Bentleigh East,h,1220000,178,1950
Bentleigh East,h,885000,110,1950
Bentleigh East,t,830000,141,2012
Bentleigh East,h,1137500,,
Bentleigh East,h,1100000,,1975
Bentleigh East,h,1040000,,1970
Bentleigh East,t,1210000,222,2014
Bentleigh East,t,1160000,180,2006
Bentleigh East,h,1215000,110,1970
Bentleigh East,h,1200000,191,1960
Bentleigh East,h,1050000,140,1950
Bentleigh East,h,950000,146,1950
Bentleigh East,u,380000,78,1970
Bentleigh East,h,689000,87,
Bentleigh East,h,1400000,,
Bentleigh East,h,965000,,
Bentleigh East,h,1338000,177,1970
Bentleigh East,t,800000,,
Bentleigh East,u,651000,150,1960
Bentleigh East,h,920000,,1955
Bentleigh East,h,1390000,118,1960
Bentleigh East,u,495000,,
Bentleigh East,u,370000,,1970
Bentleigh East,h,1100000,163,1955
Bentleigh East,h,1100000,,
Bentleigh East,h,1355000,,
Bentleigh East,h,1206000,138,1940
Bentleigh East,t,486500,75,1960
Bentleigh East,h,1010000,,
Bentleigh East,h,899000,,
Bentleigh East,h,1415000,177,1970
Bentleigh East,t,1185000,207,2012
Bentleigh East,t,1060000,166,1960
Bentleigh East,u,716000,,
Bentleigh East,h,1550000,,
Bentleigh East,h,840000,,
Bentleigh East,h,1110000,,
Bentleigh East,h,1106000,,
Bentleigh East,h,845000,145,1998
Bentleigh East,t,860000,117,1995
Bentleigh East,h,1208000,,
Bentleigh East,t,921000,140,2009
Bentleigh East,h,1165000,,
Bentleigh East,h,1270000,,
Bentleigh East,h,742500,135,1960
Bentleigh East,h,920000,120,1950
Bentleigh East,h,1307000,,
Bentleigh East,h,1010000,112,
Bentleigh East,h,702000,102,1960
Bentleigh East,h,813000,,
Bentleigh East,t,805000,117,2000
Bentleigh East,h,880000,,
Bentleigh East,h,1100000,190,2004
Bentleigh East,h,1085000,,
Bentleigh East,t,920000,,
Bentleigh East,h,1050000,131,1950
Bentleigh East,h,1560000,,
Bentleigh East,h,800000,,
Bentleigh East,h,722000,79,2005
Bentleigh East,h,930000,133,1960
Bentleigh East,h,921000,119,2000
Bentleigh East,h,1035000,160,1950
Bentleigh East,u,720000,,1996
Bentleigh East,h,1185000,,
Bentleigh East,h,1352000,196,1950
Bentleigh East,t,1005000,205,2006
Bentleigh East,u,761000,,
Bentleigh East,h,1600000,315,1930
Bentleigh East,h,1200000,120,1970
Bentleigh East,h,780000,126,1950
Bentleigh East,t,1250000,231,2010
Bentleigh East,h,750000,,
Bentleigh East,h,1300000,,
Bentleigh East,h,1475000,,
Bentleigh East,h,1110000,176,1960
